,mobile,url,tm,title,content,source,location,type,tags,emotion,negative_cnt,comment_cnt,fee,speed,signal,5G,other,--,tag_num,one_tag,multi_tag
10,亞太,[https://money.udn.com/money/story/5710/5639567](https://money.udn.com/money/story/5710/5639567),2021-07-31T01:00:00+08:00,Re: [新聞] 上半年5G 網速PK誰最快？Speedtest 公布,說真的 亞太真的濫到底 台星還比較長進,moneyudn,"菲律賓,泰國",主文,其他,中立,0,0.0,0,1,0,0,1,0,1,其他,其他
11,台灣之星,[https://www.sogi.com.tw/talks/_5G_%E4%B8%8A%E5%8D%8A%E5%B9%B45G_%E7%B6%B2%E9%80%9FPK%E8%AA%B0%E6%9C%80%E5%BF%AB_Speedtest_%E5%85%AC%E5%B8%83%E5%8F%B0%E7%81%A3%E9%9B%BB%E4%BF%A1%E6%9C%80%E6%96%B0%E6%8E%92%E5%90%8D/6267973](https://www.sogi.com.tw/talks/_5G_%E4%B8%8A%E5%8D%8A%E5%B9%B45G_%E7%B6%B2%E9%80%9FPK%E8%AA%B0%E6%9C%80%E5%BF%AB_Speedtest_%E5%85%AC%E5%B8%83%E5%8F%B0%E7%81%A3%E9%9B%BB%E4%BF%A1%E6%9C%80%E6%96%B0%E6%8E%92%E5%90%8D/6267973),2021-07-21T16:35:13+08:00,亞太最新活動,感謝您的推薦，我生活圈台星的部分只有慘可以形容，最好時不超過5M...不然我也想用回台星,sogi,,主文,網速,中立,0,4.0,0,1,0,0,0,0,1,網速,網速
12,亞太,[https://www.chinatimes.com/realtimenews/20210719003239-260412](https://www.chinatimes.com/realtimenews/20210719003239-260412),2021-07-19T18:01:00+08:00,5G測速挑戰》6月結果出爐,"5G亞太走的是遠傳的線路
速度快過台星不意外
問題是....
價格也和遠傳一樣很不親民呀
台星雖然5G速度不快
但它一堆方案是299+100分話費
還有一大群是可以體驗5G到明年中的188用戶
就算速度墊底,還是香呀",chinatimes,"新北市,新莊區",主文,5G,中立,0,0.0,1,1,0,1,0,0,2,,"資費,5G"
13,亞太,[https://www.mobile01.com/topicdetail.php?f=638&t=6411041](https://www.mobile01.com/topicdetail.php?f=638&t=6411041),2021-07-15T18:05:00+08:00,[超幹] 幹,"睡著
有電話
你好我台灣之星
有388吃到飽要轉碼
幹
我這手機雙門號
台星加亞太
兩個門號都188以內
你388有啥吸引力
台星去年1111辦的
問我亞太要轉嗎
但是這手機
這樣兩張卡不就都台星
還更貴200？
幹
睡不著了啦",mobile01,,主文,資費,中立,0,0.0,1,0,0,0,0,0,1,資費,資費
14,亞太,[https://www.ptt.cc/bbs/MobileComm/M.1626275363.A.20E.html](https://www.ptt.cc/bbs/MobileComm/M.1626275363.A.20E.html),2021-07-14T23:09:22+08:00,直接升中華5G ，還是改台星5G好?,"前陣子測速報告
是遠傳跟亞太這組測速最快捏
5G僧多粥少
中華人數太多可能會塞車",ptt,,主文,5G,中立,0,4.0,0,1,0,1,0,0,1,5G,5G
15,亞太,[https://money.udn.com/money/story/5612/5575312](https://money.udn.com/money/story/5612/5575312),2021-07-03T08:30:00+08:00,[問題] 社區基地台被拆,不管是中華、台哥大、遠傳、亞太都一樣沒訊號,moneyudn,三星,主文,收訊,負向,0,0.0,0,0,1,0,0,0,1,收訊,收訊
16,亞太,[https://www.ctwant.com/article/126336](https://www.ctwant.com/article/126336),2021-07-01T17:36:45+08:00,[問題] 中華電信 澳洲漫遊沒訊號,亞太的4G功能比較完整,ctwant,,主文,收訊,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
17,中華,[https://www.chinatimes.com/realtimenews/20210701004798-260412](https://www.chinatimes.com/realtimenews/20210701004798-260412),2021-07-01T16:44:00+08:00,[問題] 中華電信 澳洲漫遊沒訊號,對 我後來才知道中華的不行 好像亞太的才可以 交叉,chinatimes,"新莊區,新莊,新莊,新莊,新莊,三星,三星,三星,信義,新莊,三星,新莊,台北車站,新莊",主文,收訊,中立,0,0.0,0,0,1,0,0,0,1,網速,網速
18,亞太,[https://www.youtube.com/watch?v=8hLOCBHbfQ4](https://www.youtube.com/watch?v=8hLOCBHbfQ4),2021-06-11T20:00:23+08:00,請問：你們用哪兩家電信組合?,"
我就只有用亞太而已~雙北收訊還蠻不錯
",youtube,,主文,收訊,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
19,中華,[https://tw.appledaily.com/supplement/20211125/EIX3DLDFJZEBRPDSW4P3HYW3RA/](https://tw.appledaily.com/supplement/20211125/EIX3DLDFJZEBRPDSW4P3HYW3RA/),2021-11-25T07:00:00+08:00,[問題] Pixel6 Pro網路常常斷線,我用遠傳也是一樣,apple,"德國,土耳其,美國,臺北",主文,5G,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
20,中華,[https://www.facebook.com/159425621565/posts/10158260937466566/](https://www.facebook.com/159425621565/posts/10158260937466566/),2021-11-19T10:00:39+08:00,[討論] 遠傳211似乎有偷限速,看看價錢，我還是繼續用，手機看720P覺得夠用,fans,,主文,5G,中立,0,0.0,1,1,0,0,0,0,1,網速,網速
21,中華,[https://www.mobile01.com/topicdetail.php?f=18&t=6488086](https://www.mobile01.com/topicdetail.php?f=18&t=6488086),2021-11-09T17:36:00+08:00,[問題] 台哥大電銷399專案,台哥大不要 我從遠傳跳去，爛透了，還是中華王道,mobile01_comment,,回文,5G,中立,0,0.0,1,0,0,0,1,0,2,,"資費,其他"
22,中華,[https://www.facebook.com/273340155673/posts/10158833519895674/](https://www.facebook.com/273340155673/posts/10158833519895674/),2021-11-06T23:42:32+08:00,【討論】只有遠傳 沒有訊號,最近剛轉到遠傳，下次續約轉種花好了，攜碼轉真的棒,fans_comment,,回文,5G,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
23,中華,[https://www.facebook.com/1647054002212395/posts/3020876754830106/](https://www.facebook.com/1647054002212395/posts/3020876754830106/),2021-11-02T16:37:52+08:00,[問題] 臺灣之星vs遠傳速度,你那邊台星的上傳跟丟包不太妙,fans,,主文,5G,中立,0,0.0,0,1,0,0,0,0,1,網速,網速
24,中華,[https://udn.com/news/story/7240/5860338](https://udn.com/news/story/7240/5860338),2021-11-02T11:10:13+08:00,[問題] 臺灣之星vs遠傳速度,台星只會越來越慢  歡迎跳坑  XD,udn,"成功,成功,成功",主文,5G,中立,0,0.0,0,1,0,0,0,0,1,網速,網速
25,中華,[https://www.facebook.com/394896373929368/posts/4786295564789405/](https://www.facebook.com/394896373929368/posts/4786295564789405/),2021-10-25T17:00:11+08:00,台灣大哥大還是遠傳4G比較快？！,"之前用了好幾年台灣大哥大4G吃到飽
一個月繳五百左右吧 (上班族非學生)
近期不知道是怎樣，住和上班的地方也沒變
就是在文山區這邊，但網路變得不太穩定...
不知道是只有我嗎？
明明是4G吃到飽，卻會變3G或
寫一個""H""不懂什麼那是什麼意思...
但是就 超 級 慢 ！！！ ??
難道4G吃到飽還會被降速？！？！？
後來常常這樣，有點被氣到
最近換了遠傳一樣4G吃到飽
月付688，希望4G網路可以穩定一點
或甚至快一點呀... ??
各位有沒有比較過
或實際兩家都使用過
比較喜歡哪家的網路速度呢？！？
(或許地區也有差吧)",fans_comment,,回文,5G,中立,0,0.0,1,1,0,0,0,0,2,,"資費,網速"
26,中華,[https://money.udn.com/money/story/5612/5834527](https://money.udn.com/money/story/5612/5834527),2021-10-22T04:06:46+08:00,[問題] 中華電信網路不穩？,遠傳五居也不行,moneyudn,"韓國,韓國,韓國",主文,5G,中立,0,0.0,0,0,1,1,0,0,1,5G,5G
27,中華,[https://www.facebook.com/530701317082589/posts/2277649949054375/](https://www.facebook.com/530701317082589/posts/2277649949054375/),2021-10-21T09:55:26+08:00,【問題】上場外看到好幾篇台哥大網路炸掉的文,幸好我是用遠傳= =,fans,"苗栗縣,南庄鄉,苗栗縣,苗栗",主文,5G,中立,0,0.0,0,1,0,0,0,0,1,網速,網速
28,中華,[https://news.ltn.com.tw/news/life/paper/1479788](https://news.ltn.com.tw/news/life/paper/1479788),2021-10-21T05:30:00+08:00,【問題】台灣大哥大網路炸了？,遠傳爛到感覺麻痺了,ltn,"南庄鄉,苗栗,苗栗縣,南庄鄉,南庄,泰安,獅潭,苗栗,南庄",主文,5G,中立,0,0.0,0,1,0,0,0,0,1,網速,網速
29,中華,[https://news.ltn.com.tw/news/Miaoli/paper/1479788](https://news.ltn.com.tw/news/Miaoli/paper/1479788),2021-10-21T05:30:00+08:00,【問題】台灣大哥大網路炸了？,遠傳用好幾年沒什麼大問題,ltn,"南庄鄉,苗栗,苗栗縣,南庄鄉,南庄,泰安,獅潭,苗栗,南庄",主文,5G,中立,0,0.0,0,1,0,0,0,0,1,網速,網速
30,中華,[https://www.chinatimes.com/newspapers/20211021000451-260107](https://www.chinatimes.com/newspapers/20211021000451-260107),2021-10-21T04:10:00+08:00,[問卦] 台哥大網路連不上？,遠傳安定,chinatimes,"苗栗縣,南庄鄉,泰安鄉,獅潭鄉,苗栗縣,南庄鄉,苗栗縣,竹南,新北,石碇區,萬里區,南庄鄉,南庄鄉,南庄鄉,南庄鄉,苗栗縣,苗栗",主文,5G,中立,0,0.0,0,0,1,0,0,0,1,網速,網速
31,中華,[https://www.chinatimes.com/realtimenews/20211020003206-260410](https://www.chinatimes.com/realtimenews/20211020003206-260410),2021-10-20T15:21:00+08:00,"真心請教神人,有關華為B315s,3台一起亮紅燈","
遠傳正常使用中
",chinatimes,"苗栗縣,南庄鄉,苗栗,南庄鄉,南庄鄉",主文,5G,中立,0,0.0,0,0,0,0,1,0,1,網速,網速
32,中華,[https://money.udn.com/money/story/5612/5779884](https://money.udn.com/money/story/5612/5779884),2021-09-29T12:50:00+08:00,[新聞] 5G網速力壓英、美、韓　遠傳：展現台灣電,沒想到遠傳5G還贏其他那麼多國家 拿到第一也不容易,moneyudn,"桃園市,桃園市,桃園市,桃園市,桃園市,北區,桃園市,桃園",主文,5G,中立,0,0.0,0,1,0,1,0,0,1,5G,5G
33,中華,[https://www.ptt.cc/bbs/ShuangHe/M.1632783650.A.B4D.html](https://www.ptt.cc/bbs/ShuangHe/M.1632783650.A.B4D.html),2021-09-28T17:00:00+08:00,[問題] 遠傳現在還會限速嗎？,遠傳在7月還有限速,ptt_comment,,回文,5G,負向,0,0.0,1,1,0,0,0,0,1,網速,網速
34,中華,[https://www.facebook.com/175655180981/posts/10160212307635982/](https://www.facebook.com/175655180981/posts/10160212307635982/),2021-09-25T21:30:00+08:00,[情報] 遠傳5G易付卡首辦免費送一個月,遠傳終於出5G預付卡了，趁現在便宜來用用看,fans,,主文,5G,中立,0,0.0,1,0,0,1,0,0,2,,"資費,5G"
35,中華,[https://forum.gamer.com.tw/C.php?bsn=60559&snA=56706](https://forum.gamer.com.tw/C.php?bsn=60559&snA=56706),2021-09-25T14:59:21+08:00,【心得】哭啊遠傳,只有遠傳，沒有訊息,gamer_comment,,回文,5G,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
36,中華,[https://m.ctee.com.tw/dailynews/20210925/a04aa4/1146682](https://m.ctee.com.tw/dailynews/20210925/a04aa4/1146682),2021-09-25T00:00:00+08:00,[討論] 各位被遠傳體驗5G了嗎,"我用5g很正常,手機也不熱",ctee,,主文,5G,中立,0,0.0,0,0,0,1,1,0,2,,"5G,其他"
37,中華,[https://forum.gamer.com.tw/C.php?bsn=60559&snA=56706](https://forum.gamer.com.tw/C.php?bsn=60559&snA=56706),2021-09-24T18:14:51+08:00,[討論] 各位被遠傳體驗5G了嗎,我的台星4G只有6M,gamer_comment,北屯,回文,5G,中立,0,0.0,0,1,0,1,0,0,2,,"網速,5G"
38,中華,[https://forum.gamer.com.tw/C.php?bsn=60559&snA=56706](https://forum.gamer.com.tw/C.php?bsn=60559&snA=56706),2021-09-24T11:55:38+08:00,手機電信,遠傳在學苑2樓算不錯 滿格 跑的很順,gamer_comment,,回文,5G,中立,0,0.0,0,1,1,0,0,0,1,收訊,收訊
39,中華,[https://www.facebook.com/109249609124014/posts/4862865750429019/](https://www.facebook.com/109249609124014/posts/4862865750429019/),2021-09-23T02:21:08+08:00,想問遠傳與台灣之星的訊號如何,"不建議台灣之星,離開金城和山外就要靠運氣了。",fans_comment,"韓國,韓國",回文,5G,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
40,中華,[https://www.facebook.com/109249609124014/posts/4862865750429019/](https://www.facebook.com/109249609124014/posts/4862865750429019/),2021-09-22T20:50:32+08:00,[問卦] 遠傳網路 到底行不行啊？,遠傳訊號真的不ok 轉來一年已後悔,fans_comment,,回文,5G,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
41,中華,[https://www.facebook.com/109249609124014/posts/4862865750429019/](https://www.facebook.com/109249609124014/posts/4862865750429019/),2021-09-22T20:50:32+08:00,[問卦] 遠傳網路 到底行不行啊？,同遠傳約到絕對換 晚上看啥都瘋狂轉圈,fans_comment,,回文,5G,負向,0,0.0,0,1,0,0,0,0,1,網速,網速
42,中華,[https://www.facebook.com/109249609124014/posts/4862865750429019/](https://www.facebook.com/109249609124014/posts/4862865750429019/),2021-09-22T20:50:32+08:00,【討論】我是遠傳為什麼每天00：00到...,我是遠傳八點到半夜十二點丟包率會超高偏偏我是用手機網路打遊戲 快吐了,fans_comment,台東,回文,5G,中立,0,0.0,0,1,0,0,0,0,1,網速,網速
43,中華,[https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html](https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html),2021-09-21T13:22:00+08:00,[問卦] 遠傳電信漫遊收不到簡訊?,常出國不會用遠傳,ptt_comment,,回文,5G,中立,0,0.0,0,0,0,0,1,0,1,收訊,收訊
44,中華,[https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html](https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html),2021-09-21T00:11:00+08:00,[討論] ?討論? 台灣大哥大  4G網速問題,我家只有遠傳能在室內用4G其他家幾乎陣亡,ptt_comment,,回文,5G,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
45,中華,[https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html](https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html),2021-09-20T23:50:00+08:00,[討論] ?討論? 台灣大哥大  4G網速問題,我5G未開台前就發現看YT就是會轉圈圈 換了遠傳就沒,ptt_comment,魚池,回文,5G,中立,0,0.0,0,1,0,0,0,0,2,,"收訊,5G"
46,中華,[https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html](https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html),2021-09-20T21:39:00+08:00,LINE111遠傳續約APP?,"遠傳應該很難再有那麼低的方案了，早點續應該沒差
111再多用兩年也不錯",ptt_comment,,回文,5G,中立,0,0.0,1,0,0,0,0,0,1,資費,資費
47,中華,[https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html](https://www.ptt.cc/bbs/MobileComm/M.1632142008.A.3BC.html),2021-09-20T20:46:45+08:00,【問題】中華電信訊號越來越爛可不可以適用消保法,種花最近真的怪@@要不辦其他家試用看看?看看遠傳之類的，我看家裡人用都蠻正常,ptt,"韓國,韓國,成功",主文,5G,中立,2,37.0,0,0,1,0,0,0,1,收訊,收訊
48,中華,[https://www.ptt.cc/bbs/MobileComm/M.1631763559.A.BF0.html](https://www.ptt.cc/bbs/MobileComm/M.1631763559.A.BF0.html),2021-09-16T16:20:00+08:00,[心得] 中華699轉遠傳319,生活圈中華最近一年網速越來越慢,ptt_comment,,回文,5G,中立,0,0.0,1,1,0,0,0,0,1,網速,網速
49,中華,[https://www.facebook.com/159425621565/posts/10158152379886566/](https://www.facebook.com/159425621565/posts/10158152379886566/),2021-09-10T10:08:02+08:00,[問題] 遠傳在市區跟鹽埔的訊號如何?,遠傳廢到笑 之前電銷速度不到5M,fans,,主文,5G,中立,0,0.0,0,1,1,0,0,0,1,網速,網速
50,中華,[https://udn.com/news/story/7240/5733121](https://udn.com/news/story/7240/5733121),2021-09-09T10:58:10+08:00,臺哥大跳遠傳,"遠傳499現在還有送1000元超商和全聯禮券
其實算下來CP值也算蠻高的",udn,"高雄,中和",主文,5G,中立,0,0.0,1,0,0,0,0,0,2,,"資費,其他"
51,中華,[https://money.udn.com/money/story/5612/5733121](https://money.udn.com/money/story/5612/5733121),2021-09-09T10:58:00+08:00,[方案] NP遠傳方案詢問,最近幫家人線上申辦還有送超商和全聯禮券,moneyudn,"高雄,中和",主文,5G,中立,0,0.0,1,0,0,0,0,0,1,其他,其他
52,中華,[https://udn.com/news/story/7240/5733013](https://udn.com/news/story/7240/5733013),2021-09-09T10:35:12+08:00,[方案] 中華699到期 找4G吃到飽,我媽在嘉義鄉下 幫她辦遠傳499訊號還不錯啊,udn,"高雄,中和",主文,5G,中立,0,0.0,1,0,1,0,0,0,1,資費,資費
53,中華,[https://www.facebook.com/299002291837/posts/10159414841936838/](https://www.facebook.com/299002291837/posts/10159414841936838/),2021-09-03T13:45:40+08:00,#討論 遠傳電銷無限速399吃到飽 被限速,我遠傳每個月用破百沒被限速,fans,,主文,5G,中立,0,0.0,1,1,0,0,0,0,1,網速,網速
54,中華,[https://www.mobile01.com/topicdetail.php?f=18&t=6445445](https://www.mobile01.com/topicdetail.php?f=18&t=6445445),2021-09-03T10:57:00+08:00,[方案] 遠傳999到期找吃到飽,中華4G吃到飽不降速465路過,mobile01_comment,,回文,5G,中立,0,0.0,1,1,0,0,0,0,1,網速,網速
55,中華,[https://ctee.com.tw/livenews/kj/ctee/A79860002021083014160293](https://ctee.com.tw/livenews/kj/ctee/A79860002021083014160293),2021-08-30T14:33:13+08:00,[問題] 遠傳約快滿，等雙11空檔怎辦？,沒有經過人工客服 就是登入看有什麼專屬續約方案,ctee,,主文,5G,中立,0,0.0,1,0,0,0,0,0,1,其他,其他
56,中華,[https://www.ptt.cc/bbs/MobileComm/M.1629799489.A.F6E.html](https://www.ptt.cc/bbs/MobileComm/M.1629799489.A.F6E.html),2021-08-25T00:17:00+08:00,有台灣大哥大的也跟我一樣嗎？,"我也是！
每天晚上11點以後網路就開始卡死
白天的時候有時也會這樣 超生氣！
完全受夠台哥大準備要NP遠傳了??",ptt_comment,,回文,5G,中立,0,0.0,0,0,1,0,0,0,1,網速,網速
57,中華,[https://www.mobile01.com/topicdetail.php?f=18&t=6439320](https://www.mobile01.com/topicdetail.php?f=18&t=6439320),2021-08-24T19:02:00+08:00,大家覺得哪家電信服務最好,"
遠傳服務是真的蠻好的，有問題解決之後會打來追蹤情況，不知道是不是有sop
",mobile01,,主文,5G,中立,0,1.0,0,0,0,0,1,0,1,其他,其他
58,中華,[https://udn.com/news/story/7240/5694415](https://udn.com/news/story/7240/5694415),2021-08-24T04:41:48+08:00,[問題] NP到中華學專488後悔了,遠傳在官網有499吃到飽不限速,udn,"交通部,英國,交通部",主文,5G,中立,0,0.0,1,0,0,0,0,0,1,資費,資費
59,中華,[https://www.sogi.com.tw/talks/%E9%9B%BB%E4%BF%A1%E9%BE%8D%E9%A0%AD%E7%8D%B2%E3%80%8C5G%E7%B6%B2%E9%80%9F%E7%AC%AC%E4%B8%80%E5%90%8D%E3%80%8D_%E3%80%8C%E8%A1%8C%E5%8B%95%E6%B6%B5%E8%93%8B%E7%AC%AC%E4%B8%80%E5%90%8D%E3%80%8D%E5%A4%A7%E7%8D%8E/6267972](https://www.sogi.com.tw/talks/%E9%9B%BB%E4%BF%A1%E9%BE%8D%E9%A0%AD%E7%8D%B2%E3%80%8C5G%E7%B6%B2%E9%80%9F%E7%AC%AC%E4%B8%80%E5%90%8D%E3%80%8D_%E3%80%8C%E8%A1%8C%E5%8B%95%E6%B6%B5%E8%93%8B%E7%AC%AC%E4%B8%80%E5%90%8D%E3%80%8D%E5%A4%A7%E7%8D%8E/6267972),2021-07-23T14:27:39+08:00,[心得] 原LM211 變遠傳211的心得,速度變慢&不穩+1,sogi_comment,,回文,5G,中立,0,0.0,1,1,1,0,0,0,2,,"網速,收訊"
60,中華,[https://www.mobile01.com/topicdetail.php?f=18&t=6414390](https://www.mobile01.com/topicdetail.php?f=18&t=6414390),2021-07-22T19:35:00+08:00,遠傳5G實測,800多......真的好快!,mobile01_comment,,回文,5G,中立,0,0.0,0,1,0,1,0,0,1,5G,5G
61,中華,[https://www.mobile01.com/topicdetail.php?f=18&t=6414390](https://www.mobile01.com/topicdetail.php?f=18&t=6414390),2021-07-22T10:34:00+08:00,[問題] 篤行路 力行三路 電信訊號品質?,所以公司的低樓層室內，遠傳訊號都較其他高，,mobile01_comment,,回文,5G,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
62,中華,[https://www.sogi.com.tw/talks/_5G_%E4%B8%8A%E5%8D%8A%E5%B9%B45G_%E7%B6%B2%E9%80%9FPK%E8%AA%B0%E6%9C%80%E5%BF%AB_Speedtest_%E5%85%AC%E5%B8%83%E5%8F%B0%E7%81%A3%E9%9B%BB%E4%BF%A1%E6%9C%80%E6%96%B0%E6%8E%92%E5%90%8D/6267973](https://www.sogi.com.tw/talks/_5G_%E4%B8%8A%E5%8D%8A%E5%B9%B45G_%E7%B6%B2%E9%80%9FPK%E8%AA%B0%E6%9C%80%E5%BF%AB_Speedtest_%E5%85%AC%E5%B8%83%E5%8F%B0%E7%81%A3%E9%9B%BB%E4%BF%A1%E6%9C%80%E6%96%B0%E6%8E%92%E5%90%8D/6267973),2021-07-21T16:35:13+08:00,[方案] 求推薦 遠傳電銷4g 319  vs 雙11台星5g 2,推遠傳 台星用過量被限速你就慘了,sogi,,主文,5G,中立,0,4.0,1,1,0,1,0,0,2,,"資費,網速"
63,中華,[https://www.ptt.cc/bbs/MobileComm/M.1626762560.A.C93.html](https://www.ptt.cc/bbs/MobileComm/M.1626762560.A.C93.html),2021-07-20T15:30:00+08:00,[問卦] 手機網路lag啦,遠傳轉到中華五雞真的很後悔,ptt_comment,,回文,5G,中立,0,0.0,0,0,1,1,0,0,1,5G,5G
64,中華,[https://www.ptt.cc/bbs/MobileComm/M.1626762560.A.C93.html](https://www.ptt.cc/bbs/MobileComm/M.1626762560.A.C93.html),2021-07-20T15:23:00+08:00,台中水岸公園遠傳5G收訊不錯,感覺現在很多人去換5G了,ptt_comment,,回文,5G,中立,0,0.0,0,0,1,1,0,0,1,5G,5G
65,中華,[https://www.facebook.com/549711121712959/posts/4752698231414206/](https://www.facebook.com/549711121712959/posts/4752698231414206/),2021-07-11T15:40:19+08:00,行動網路選擇困難,中華的網路太慢，我都換遠傳了。,fans,,主文,5G,中立,0,0.0,0,1,0,0,0,0,1,網速,網速
66,中華,[https://www.facebook.com/162174107155573/posts/4445296812176593/](https://www.facebook.com/162174107155573/posts/4445296812176593/),2021-06-28T11:00:26+08:00,[問題] 請問有人受到遠傳5g免費試用簡訊嗎？,5G真的爽，我當初是在中華免費升5G的，還不用換約超,fans_comment,,回文,5G,中立,0,0.0,1,0,0,1,0,0,1,5G,5G
67,中華,[https://www.facebook.com/128269288214/posts/10158371436948215/](https://www.facebook.com/128269288214/posts/10158371436948215/),2021-05-17T15:45:07+08:00,[討論] 本日台電斷電之網路斷訊回報,遠傳很多地方連不上,fans,,主文,5G,中立,0,,0,0,1,0,0,0,2,,"網速,收訊"
